국가,목적,연월,예측입국자수,r2,mape,confidence
그리스,공용,2025-06,0,0.9326,19.97,80.0
그리스,공용,2025-07,0,0.9326,19.97,80.0
그리스,공용,2025-08,0,0.9326,19.97,80.0
그리스,공용,2025-09,2,0.9326,19.97,80.0
그리스,공용,2025-10,1,0.9326,19.97,80.0
그리스,공용,2025-11,0,0.9326,19.97,80.0
그리스,공용,2025-12,0,0.9326,19.97,80.0
그리스,공용,2026-01,1,0.9326,19.97,80.0
그리스,공용,2026-02,1,0.9326,19.97,80.0
그리스,공용,2026-03,2,0.9326,19.97,80.0
그리스,공용,2026-04,1,0.9326,19.97,80.0
그리스,공용,2026-05,1,0.9326,19.97,80.0
그리스,공용,2026-06,0,0.9326,19.97,80.0
그리스,공용,2026-07,0,0.9326,19.97,80.0
그리스,공용,2026-08,0,0.9326,19.97,80.0
그리스,공용,2026-09,1,0.9326,19.97,80.0
그리스,공용,2026-10,1,0.9326,19.97,80.0
그리스,공용,2026-11,1,0.9326,19.97,80.0
그리스,공용,2026-12,0,0.9326,19.97,80.0
그리스,관광,2025-06,486,0.9852,1.43,98.6
그리스,관광,2025-07,571,0.9852,1.43,98.6
그리스,관광,2025-08,681,0.9852,1.43,98.6
그리스,관광,2025-09,689,0.9852,1.43,98.6
그리스,관광,2025-10,720,0.9852,1.43,98.6
그리스,관광,2025-11,799,0.9852,1.43,98.6
그리스,관광,2025-12,526,0.9852,1.43,98.6
그리스,관광,2026-01,350,0.9852,1.43,98.6
그리스,관광,2026-02,318,0.9852,1.43,98.6
그리스,관광,2026-03,844,0.9852,1.43,98.6
그리스,관광,2026-04,888,0.9852,1.43,98.6
그리스,관광,2026-05,750,0.9852,1.43,98.6
그리스,관광,2026-06,488,0.9852,1.43,98.6
그리스,관광,2026-07,572,0.9852,1.43,98.6
그리스,관광,2026-08,681,0.9852,1.43,98.6
그리스,관광,2026-09,686,0.9852,1.43,98.6
그리스,관광,2026-10,718,0.9852,1.43,98.6
그리스,관광,2026-11,800,0.9852,1.43,98.6
그리스,관광,2026-12,522,0.9852,1.43,98.6
그리스,상용,2025-06,8,0.9436,9.59,90.4
그리스,상용,2025-07,9,0.9436,9.59,90.4
그리스,상용,2025-08,17,0.9436,9.59,90.4
그리스,상용,2025-09,19,0.9436,9.59,90.4
그리스,상용,2025-10,15,0.9436,9.59,90.4
그리스,상용,2025-12,11,0.9436,9.59,90.4
그리스,상용,2025-11,10,0.9436,9.59,90.4
그리스,상용,2026-02,9,0.9436,9.59,90.4
그리스,상용,2026-01,23,0.9436,9.59,90.4
그리스,상용,2026-04,12,0.9436,9.59,90.4
그리스,상용,2026-03,8,0.9436,9.59,90.4
그리스,상용,2026-05,12,0.9436,9.59,90.4
그리스,상용,2026-06,8,0.9436,9.59,90.4
그리스,상용,2026-07,9,0.9436,9.59,90.4
그리스,상용,2026-08,17,0.9436,9.59,90.4
그리스,상용,2026-09,18,0.9436,9.59,90.4
그리스,상용,2026-10,14,0.9436,9.59,90.4
그리스,상용,2026-11,10,0.9436,9.59,90.4
그리스,상용,2026-12,12,0.9436,9.59,90.4
그리스,유학연수,2025-06,8,0.9938,2.33,97.7
그리스,유학연수,2025-07,2,0.9938,2.33,97.7
그리스,유학연수,2025-08,24,0.9938,2.33,97.7
그리스,유학연수,2025-09,0,0.9938,2.33,97.7
그리스,유학연수,2025-10,2,0.9938,2.33,97.7
그리스,유학연수,2025-11,8,0.9938,2.33,97.7
그리스,유학연수,2025-12,9,0.9938,2.33,97.7
그리스,유학연수,2026-01,3,0.9938,2.33,97.7
그리스,유학연수,2026-02,16,0.9938,2.33,97.7
그리스,유학연수,2026-03,2,0.9938,2.33,97.7
그리스,유학연수,2026-04,0,0.9938,2.33,97.7
그리스,유학연수,2026-05,4,0.9938,2.33,97.7
그리스,유학연수,2026-06,8,0.9938,2.33,97.7
그리스,유학연수,2026-07,1,0.9938,2.33,97.7
그리스,유학연수,2026-08,24,0.9938,2.33,97.7
그리스,유학연수,2026-09,1,0.9938,2.33,97.7
그리스,유학연수,2026-11,8,0.9938,2.33,97.7
그리스,유학연수,2026-10,2,0.9938,2.33,97.7
나이지리아,공용,2025-06,6,0.7588,27.81,72.2
그리스,유학연수,2026-12,9,0.9938,2.33,97.7
나이지리아,공용,2025-07,0,0.7588,27.81,72.2
나이지리아,공용,2025-08,5,0.7588,27.81,72.2
나이지리아,공용,2025-09,6,0.7588,27.81,72.2
나이지리아,공용,2025-10,7,0.7588,27.81,72.2
나이지리아,공용,2025-11,4,0.7588,27.81,72.2
나이지리아,공용,2025-12,5,0.7588,27.81,72.2
나이지리아,공용,2026-01,0,0.7588,27.81,72.2
나이지리아,공용,2026-02,1,0.7588,27.81,72.2
나이지리아,공용,2026-03,4,0.7588,27.81,72.2
나이지리아,공용,2026-04,4,0.7588,27.81,72.2
나이지리아,공용,2026-05,4,0.7588,27.81,72.2
나이지리아,공용,2026-06,9,0.7588,27.81,72.2
나이지리아,공용,2026-07,0,0.7588,27.81,72.2
나이지리아,공용,2026-08,4,0.7588,27.81,72.2
나이지리아,공용,2026-09,6,0.7588,27.81,72.2
나이지리아,공용,2026-10,7,0.7588,27.81,72.2
나이지리아,공용,2026-11,4,0.7588,27.81,72.2
나이지리아,공용,2026-12,4,0.7588,27.81,72.2
나이지리아,관광,2025-06,100,0.9869,3.83,96.2
나이지리아,관광,2025-07,67,0.9869,3.83,96.2
나이지리아,관광,2025-08,108,0.9869,3.83,96.2
나이지리아,관광,2025-09,199,0.9869,3.83,96.2
나이지리아,관광,2025-10,155,0.9869,3.83,96.2
나이지리아,관광,2025-11,199,0.9869,3.83,96.2
나이지리아,관광,2025-12,135,0.9869,3.83,96.2
나이지리아,관광,2026-01,89,0.9869,3.83,96.2
나이지리아,관광,2026-02,62,0.9869,3.83,96.2
나이지리아,관광,2026-03,74,0.9869,3.83,96.2
나이지리아,관광,2026-04,72,0.9869,3.83,96.2
나이지리아,관광,2026-05,96,0.9869,3.83,96.2
나이지리아,관광,2026-06,100,0.9869,3.83,96.2
나이지리아,관광,2026-07,67,0.9869,3.83,96.2
나이지리아,관광,2026-08,110,0.9869,3.83,96.2
나이지리아,관광,2026-09,199,0.9869,3.83,96.2
나이지리아,관광,2026-10,155,0.9869,3.83,96.2
나이지리아,관광,2026-11,201,0.9869,3.83,96.2
나이지리아,관광,2026-12,135,0.9869,3.83,96.2
나이지리아,상용,2025-06,19,0.9791,6.44,93.6
나이지리아,상용,2025-07,20,0.9791,6.44,93.6
나이지리아,상용,2025-08,32,0.9791,6.44,93.6
나이지리아,상용,2025-09,41,0.9791,6.44,93.6
나이지리아,상용,2025-10,27,0.9791,6.44,93.6
나이지리아,상용,2025-11,18,0.9791,6.44,93.6
나이지리아,상용,2025-12,23,0.9791,6.44,93.6
나이지리아,상용,2026-01,28,0.9791,6.44,93.6
나이지리아,상용,2026-02,31,0.9791,6.44,93.6
나이지리아,상용,2026-03,40,0.9791,6.44,93.6
나이지리아,상용,2026-04,22,0.9791,6.44,93.6
나이지리아,상용,2026-05,25,0.9791,6.44,93.6
나이지리아,상용,2026-06,19,0.9791,6.44,93.6
나이지리아,상용,2026-07,20,0.9791,6.44,93.6
나이지리아,상용,2026-08,32,0.9791,6.44,93.6
나이지리아,상용,2026-09,43,0.9791,6.44,93.6
나이지리아,상용,2026-10,27,0.9791,6.44,93.6
나이지리아,상용,2026-11,18,0.9791,6.44,93.6
나이지리아,상용,2026-12,24,0.9791,6.44,93.6
나이지리아,유학연수,2025-06,17,0.9986,4.06,95.9
나이지리아,유학연수,2025-07,21,0.9986,4.06,95.9
나이지리아,유학연수,2025-08,61,0.9986,4.06,95.9
나이지리아,유학연수,2025-09,19,0.9986,4.06,95.9
나이지리아,유학연수,2025-10,7,0.9986,4.06,95.9
나이지리아,유학연수,2025-11,8,0.9986,4.06,95.9
나이지리아,유학연수,2025-12,11,0.9986,4.06,95.9
나이지리아,유학연수,2026-01,24,0.9986,4.06,95.9
나이지리아,유학연수,2026-02,44,0.9986,4.06,95.9
나이지리아,유학연수,2026-03,26,0.9986,4.06,95.9
나이지리아,유학연수,2026-04,9,0.9986,4.06,95.9
나이지리아,유학연수,2026-05,3,0.9986,4.06,95.9
나이지리아,유학연수,2026-06,16,0.9986,4.06,95.9
나이지리아,유학연수,2026-07,21,0.9986,4.06,95.9
나이지리아,유학연수,2026-08,61,0.9986,4.06,95.9
나이지리아,유학연수,2026-09,19,0.9986,4.06,95.9
나이지리아,유학연수,2026-10,7,0.9986,4.06,95.9
나이지리아,유학연수,2026-11,8,0.9986,4.06,95.9
나이지리아,유학연수,2026-12,11,0.9986,4.06,95.9
네덜란드,공용,2025-06,10,0.8964,18.53,81.5
네덜란드,공용,2025-07,10,0.8964,18.53,81.5
네덜란드,공용,2025-08,11,0.8964,18.53,81.5
네덜란드,공용,2025-09,10,0.8964,18.53,81.5
네덜란드,공용,2025-10,6,0.8964,18.53,81.5
네덜란드,공용,2025-11,7,0.8964,18.53,81.5
