국적,목적,년,월,입국자수
일  본,관광,2005,1,189569.0
일  본,상용,2005,1,3862.0
일  본,공용,2005,1,159.0
일  본,유학연수,2005,1,521.0
일  본,기타,2005,1,3521.0
인  도,관광,2005,1,1537.0
인  도,상용,2005,1,1237.0
인  도,공용,2005,1,6.0
인  도,유학연수,2005,1,22.0
인  도,기타,2005,1,2183.0
베트남,관광,2005,1,520.0
베트남,상용,2005,1,198.0
베트남,공용,2005,1,2.0
베트남,유학연수,2005,1,45.0
베트남,기타,2005,1,2032.0
미얀마,관광,2005,1,266.0
미얀마,상용,2005,1,27.0
미얀마,공용,2005,1,21.0
미얀마,유학연수,2005,1,3.0
미얀마,기타,2005,1,2034.0
몽  골,관광,2005,1,1003.0
몽  골,상용,2005,1,239.0
몽  골,공용,2005,1,2.0
몽  골,유학연수,2005,1,38.0
몽  골,기타,2005,1,377.0
스리랑카,관광,2005,1,52.0
스리랑카,상용,2005,1,26.0
스리랑카,공용,2005,1,2.0
스리랑카,유학연수,2005,1,3.0
스리랑카,기타,2005,1,595.0
파키스탄,관광,2005,1,100.0
파키스탄,상용,2005,1,174.0
파키스탄,공용,2005,1,2.0
파키스탄,유학연수,2005,1,11.0
파키스탄,기타,2005,1,337.0
방글라데시,관광,2005,1,190.0
방글라데시,상용,2005,1,39.0
방글라데시,공용,2005,1,0.0
방글라데시,유학연수,2005,1,3.0
방글라데시,기타,2005,1,186.0
중  국,관광,2005,1,16731.0
중  국,상용,2005,1,6764.0
중  국,공용,2005,1,53.0
중  국,유학연수,2005,1,780.0
중  국,기타,2005,1,20620.0
대  만,관광,2005,1,33681.0
대  만,상용,2005,1,32.0
대  만,공용,2005,1,7.0
대  만,유학연수,2005,1,20.0
대  만,기타,2005,1,1079.0
필리핀,관광,2005,1,1992.0
필리핀,상용,2005,1,201.0
필리핀,공용,2005,1,100.0
필리핀,유학연수,2005,1,25.0
필리핀,기타,2005,1,14826.0
홍  콩,관광,2005,1,10184.0
홍  콩,상용,2005,1,19.0
홍  콩,공용,2005,1,0.0
홍  콩,유학연수,2005,1,5.0
홍  콩,기타,2005,1,745.0
태  국,관광,2005,1,3785.0
태  국,상용,2005,1,11.0
태  국,공용,2005,1,15.0
