국적,목적,test_samples,mae_linear,mae_xgb
피  지,상용,46,0.0,0.0
키리바시,상용,46,0.0,0.0
키리바시,유학연수,46,0.26026761962944056,0.009783897270529491
쿠  바,상용,46,0.4500424386101327,0.004968833123237583
쿠  바,유학연수,46,0.5891016681445794,0.06007532424384566
그리스,공용,46,0.6099768265406993,0.09471259253231161
아르헨티나,공용,46,0.6470983147749056,0.10704741157267404
쿠  바,공용,46,0.7246754237019999,0.07063210776845075
불가리아,상용,46,0.7433816446766732,0.1332811441819143
아르헨티나,상용,46,0.8254491717019614,0.13475392604975597
피  지,공용,46,0.8255372317245299,0.10865003720897695
불가리아,공용,46,0.916392789068417,0.11683131535740002
피  지,유학연수,46,0.9198651788967934,0.054494590994537524
에콰도르,상용,46,0.9473611265572429,0.08515753728241417
베네수엘라,유학연수,46,1.0463389175800417,0.11984278698978217
베네수엘라,상용,46,1.080211177259708,0.13111796962988118
베네수엘라,공용,46,1.0913516039179558,0.10739296383183936
콜롬비아,상용,46,1.1154829065432146,0.1320379273561032
스위스,공용,46,1.1311067227057552,0.16958759336367898
홍  콩,공용,46,1.2152559709427677,0.1215057568903
덴마크,공용,46,1.239396767719486,0.1454197339936281
키리바시,공용,46,1.2476000966244976,0.17730653731395368
뉴질랜드,공용,46,1.3391469236418567,0.17604742328757825
요르단,공용,46,1.414594993182327,0.2616965525743106
요르단,유학연수,46,1.5808677865299605,0.1694584154807355
남아프리카 공화국,상용,46,1.6379330011117532,0.14296240304880167
페  루,상용,46,1.6733355778053054,0.28051702070819295
이라크,유학연수,46,1.722981733952841,0.16872760222252944
멕시코,상용,46,1.7860627170738683,0.17205724832804306
그리스,유학연수,46,1.9308662097233014,0.18255070135321305
칠  레,공용,46,1.9732059936491353,0.1944022259229551
스웨덴,공용,46,2.056612347821216,0.2240649435831153
이스라엘,유학연수,46,2.0659729139600214,0.23894093865933624
폴란드,공용,46,2.073197975423344,0.16650233158598776
노르웨이,공용,46,2.127082531226872,0.19027918115582154
벨기에,공용,46,2.1278534701622425,0.17175016463126824
남아프리카 공화국,유학연수,46,2.162796213645797,0.22807328872706578
에콰도르,유학연수,46,2.173421603829014,0.1657130243661611
스페인,공용,46,2.1859579696205107,0.19404551775559134
스리랑카,공용,46,2.2076559842203283,0.17278084195340457
칠  레,상용,46,2.3433846707552215,0.15567280190146487
루마니아,유학연수,46,2.351833402971314,0.3097819345800773
스위스,상용,46,2.3627406710528525,0.3086688246416009
뉴질랜드,유학연수,46,2.459371129411598,0.19564758322161177
이  란,공용,46,2.652018274347608,0.22876350701098208
남아프리카 공화국,공용,46,2.733106811633554,0.2245491905056912
이라크,공용,46,2.7448983036307353,0.25894512005312287
멕시코,공용,46,2.7539286933803857,0.36856252473333606
루마니아,상용,46,2.7865230177399014,0.28340604771738465
아르헨티나,유학연수,46,2.788287374529464,0.21860414621946606
네덜란드,공용,46,2.809468575708989,0.27448077305503515
이탈리아,공용,46,2.864128955329128,0.3466404184051182
키리바시,관광,46,2.880798560523348,0.31133714395210793
우크라이나,공용,46,2.9181472042177945,0.1804434762376806
대  만,공용,46,2.9890605309572265,0.23201751976233462
쿠  바,기타,46,3.0636894556279186,0.21099083627695622
불가리아,유학연수,46,3.180916380348728,0.19068165609370108
이집트,공용,46,3.2134057894408055,0.20367224478041349
페  루,공용,46,3.228343460944132,0.39057863730451337
칠  레,유학연수,46,3.340194822490127,0.21129385138983311
이스라엘,공용,46,3.4312485963823143,0.27782250943836634
그리스,상용,46,3.4531546941659004,0.26640207352845563
터  키,상용,46,3.6314351697213643,0.36855091219363006
카자흐스탄,상용,46,3.750249398261528,0.3381187959533671
이집트,유학연수,46,3.8222945506481887,0.33290867053944134
콜롬비아,유학연수,46,3.9862617562975573,0.18714954282926477
네덜란드,상용,46,4.004613578331276,0.45524752658346423
말레이시아,공용,46,4.217847436953897,0.5102331424536912
페  루,유학연수,46,4.2563010670293275,0.28646108969722106
스페인,상용,46,4.445875389396025,0.43868055032647174
폴란드,상용,46,4.526299893600754,0.5011952182520991
키리바시,기타,46,4.667994916665033,0.5269168560271678
벨기에,상용,46,4.706901914418805,0.4147467872370844
독  일,공용,46,5.020994431384135,0.4590268912522689
루마니아,공용,46,5.079712918799092,0.4196288987346318
덴마크,상용,46,5.105634217290601,0.3386849942414657
이라크,기타,46,5.216819202273519,0.46100477809491364
러시아(연방),공용,46,5.291584256618645,0.6548667407554128
노르웨이,유학연수,46,5.306832920990668,0.35079838400301727
스웨덴,상용,46,5.307489745012657,0.47055008100426715
나이지리아,공용,46,5.4384678343901385,0.37905115067310957
브라질,공용,46,5.451070578909002,0.4053350376046222
피  지,기타,46,5.486750901285511,0.3841079123642134
노르웨이,상용,46,5.553836364740022,0.824046544406725
이스라엘,상용,46,5.585748589088221,0.22836349839749542
에콰도르,기타,46,5.589073971724442,0.41897899689881696
콜롬비아,공용,46,5.830551136310552,0.3552291173001994
뉴질랜드,상용,46,5.943663686061881,0.47918173022892163
쿠  바,관광,46,5.958553733969159,0.5025962867328654
덴마크,유학연수,46,5.990671060615926,0.5284547163983402
캐나다,상용,46,5.996759314484873,0.5114206438479216
우즈베키스탄,공용,46,6.201490280061304,0.4365875946924738
에콰도르,공용,46,6.22441985437658,0.4084969441527906
영  국,공용,46,6.2299273547563105,0.4357248181882112
나이지리아,기타,46,6.418226074253947,0.5186437109242314
카자흐스탄,공용,46,6.539912366616534,0.37015108553611714
파키스탄,공용,46,6.63453401978069,0.7623567827369856
나이지리아,상용,46,6.74736651083051,0.698644897212153
터  키,공용,46,6.784748596281725,0.6655901127859302
싱가포르,공용,46,6.917288323838023,0.5099440497224745
우크라이나,유학연수,46,7.2925486082674675,0.2503367351449054
프랑스,공용,46,7.922918476259254,0.6500825674637504
스위스,유학연수,46,7.941646260632462,0.6095850973936688
이  란,유학연수,46,8.055552940586809,0.7020866559899371
베네수엘라,기타,46,8.136781857743673,0.5485154856806216
사우디아라비아,공용,46,8.21423860475953,0.9163736208625461
스리랑카,상용,46,8.3123760668107,0.5129892929740574
이  란,기타,46,8.64103039805654,0.9113436263540516
오스트레일리아,유학연수,46,8.767036347684089,0.5879009482653245
나이지리아,유학연수,46,8.816919235040288,0.698957533940025
요르단,기타,46,8.825616460309222,0.9018902985945992
미얀마,공용,46,9.278920145793814,0.4304096248486768
벨기에,유학연수,46,9.438638857188227,0.6079587259370348
브라질,상용,46,9.575029696128526,1.1047517735025156
칠  레,기타,46,9.848768925249807,0.5153811288916547
미얀마,상용,46,9.931801156426594,0.6717807381697323
말레이시아,상용,46,10.06424168202527,1.1649110835531484
폴란드,유학연수,46,10.152387940676798,0.9003505424960799
캐나다,공용,46,10.274053811144901,1.2256422768468442
이탈리아,상용,46,10.349702665280864,0.6469551273014235
사우디아라비아,상용,46,10.914447566219705,0.8246969969376273
브라질,유학연수,46,10.933508878377085,0.5698230525721675
노르웨이,기타,46,11.411143980616032,1.0278582780257515
스웨덴,유학연수,46,11.433051928195349,0.7017413598039876
우크라이나,상용,46,11.651689940737034,1.0427456860956938
몽  골,상용,46,11.74358715487969,1.1530545379804529
이스라엘,기타,46,11.93902849799219,1.2768366440482761
캐나다,유학연수,46,11.961060428235879,0.9645837182584016
이  란,상용,46,12.56804036076352,0.7950596161510634
태  국,상용,46,12.946825799340383,1.0471026301383972
영  국,상용,46,13.48832350135544,1.1878769916036855
인  도,공용,46,13.492419775005407,0.9505262323047804
오스트레일리아,공용,46,13.512206324450226,1.199731813824695
사우디아라비아,유학연수,46,13.671966114168299,1.4420058830924656
벨기에,기타,46,13.757764880048965,1.1142752274222996
홍  콩,상용,46,14.36873052620536,1.2203187320543372
이탈리아,유학연수,46,14.670970996812398,0.9660377139630525
덴마크,기타,46,15.188427690611148,1.5648341800855554
영  국,유학연수,46,15.895833476088228,0.8107989859645781
이라크,상용,46,16.262285913456253,1.475919308869735
터  키,유학연수,46,16.299342422866747,1.1429729150689167
요르단,상용,46,16.817490222787182,1.533066708108653
러시아(연방),상용,46,17.269647661265417,2.460618475209112
오스트레일리아,상용,46,17.450666315278347,1.5627903109011443
멕시코,유학연수,46,17.62187047743211,1.2052697617074717
방글라데시,상용,46,17.865280033192004,1.0522075463896212
방글라데시,공용,46,18.189876416413746,1.10798916026302
피  지,관광,46,19.777515255235006,1.5486858046573142
스웨덴,기타,46,20.008562009279927,1.5733297182166057
이집트,상용,46,20.314637372894342,1.5803260803222656
베네수엘라,관광,46,20.970677698473484,0.9647056019824484
네덜란드,유학연수,46,22.856938702766847,1.2205154740292092
스리랑카,유학연수,46,23.25596304358061,1.2029450010994207
싱가포르,유학연수,46,24.209483779583344,1.119838553926219
인도네시아,상용,46,24.865718626280287,2.406589072683583
프랑스,상용,46,25.33614230021484,3.0762089439060376
이라크,관광,46,25.784605568537813,2.1641001027563345
이집트,기타,46,25.815343744395165,3.0203520733377207
