country_kr,country_en,country_code,purpose_kr,purpose_en,purpose_code,ym,year,month,visitors,is_peak,lag_1,rolling_mean_3
아르헨티나,Argentina,0,기타,Other,3,2025-05,2025,5,257,0,215.0,150.66666666666666
아르헨티나,Argentina,0,유학연수,Study,4,2023-07,2023,7,4,1,5.0,2.333333333333333
아르헨티나,Argentina,0,유학연수,Study,4,2023-06,2023,6,5,0,2.0,1.6666666666666667
아르헨티나,Argentina,0,유학연수,Study,4,2023-05,2023,5,2,0,0.0,3.333333333333333
아르헨티나,Argentina,0,유학연수,Study,4,2023-04,2023,4,0,0,3.0,4.333333333333333
아르헨티나,Argentina,0,유학연수,Study,4,2023-03,2023,3,3,0,7.0,3.333333333333333
아르헨티나,Argentina,0,유학연수,Study,4,2023-02,2023,2,7,0,3.0,1.0
아르헨티나,Argentina,0,유학연수,Study,4,2023-01,2023,1,3,0,0.0,0.0
아르헨티나,Argentina,0,유학연수,Study,4,2022-12,2022,12,0,1,0.0,0.6666666666666666
아르헨티나,Argentina,0,유학연수,Study,4,2022-11,2022,11,0,0,0.0,4.333333333333333
아르헨티나,Argentina,0,유학연수,Study,4,2022-10,2022,10,0,0,2.0,4.333333333333333
아르헨티나,Argentina,0,유학연수,Study,4,2022-09,2022,9,2,0,11.0,3.6666666666666665
아르헨티나,Argentina,0,유학연수,Study,4,2022-08,2022,8,11,1,0.0,0.0
아르헨티나,Argentina,0,유학연수,Study,4,2022-07,2022,7,0,1,0.0,0.0
아르헨티나,Argentina,0,유학연수,Study,4,2022-06,2022,6,0,0,0.0,0.3333333333333333
아르헨티나,Argentina,0,유학연수,Study,4,2022-05,2022,5,0,0,0.0,3.0
아르헨티나,Argentina,0,유학연수,Study,4,2023-08,2023,8,16,1,4.0,3.6666666666666665
아르헨티나,Argentina,0,유학연수,Study,4,2022-04,2022,4,0,0,1.0,3.333333333333333
아르헨티나,Argentina,0,유학연수,Study,4,2023-09,2023,9,2,0,16.0,8.333333333333334
아르헨티나,Argentina,0,유학연수,Study,4,2023-11,2023,11,0,0,1.0,6.333333333333333
아르헨티나,Argentina,0,유학연수,Study,4,2025-02,2025,2,7,0,3.0,3.0
아르헨티나,Argentina,0,유학연수,Study,4,2025-01,2025,1,3,0,3.0,2.333333333333333
아르헨티나,Argentina,0,유학연수,Study,4,2024-12,2024,12,3,1,3.0,2.0
아르헨티나,Argentina,0,유학연수,Study,4,2024-11,2024,11,3,0,1.0,5.666666666666667
아르헨티나,Argentina,0,유학연수,Study,4,2024-10,2024,10,1,0,2.0,8.333333333333334
아르헨티나,Argentina,0,유학연수,Study,4,2024-09,2024,9,2,0,14.0,9.666666666666666
아르헨티나,Argentina,0,유학연수,Study,4,2024-08,2024,8,14,1,9.0,7.666666666666667
아르헨티나,Argentina,0,유학연수,Study,4,2024-07,2024,7,9,1,6.0,6.0
아르헨티나,Argentina,0,유학연수,Study,4,2024-06,2024,6,6,0,8.0,4.0
아르헨티나,Argentina,0,유학연수,Study,4,2024-05,2024,5,8,0,4.0,5.666666666666667
아르헨티나,Argentina,0,유학연수,Study,4,2024-04,2024,4,4,0,0.0,5.666666666666667
아르헨티나,Argentina,0,유학연수,Study,4,2024-03,2024,3,0,0,13.0,5.666666666666667
아르헨티나,Argentina,0,유학연수,Study,4,2024-02,2024,2,13,0,4.0,1.3333333333333333
아르헨티나,Argentina,0,유학연수,Study,4,2024-01,2024,1,4,0,0.0,0.3333333333333333
아르헨티나,Argentina,0,유학연수,Study,4,2023-12,2023,12,0,1,0.0,1.0
아르헨티나,Argentina,0,유학연수,Study,4,2023-10,2023,10,1,0,2.0,7.333333333333333
아르헨티나,Argentina,0,유학연수,Study,4,2022-03,2022,3,1,0,8.0,3.0
아르헨티나,Argentina,0,유학연수,Study,4,2022-02,2022,2,8,0,1.0,0.6666666666666666
아르헨티나,Argentina,0,유학연수,Study,4,2022-01,2022,1,1,0,0.0,0.3333333333333333
아르헨티나,Argentina,0,유학연수,Study,4,2020-04,2020,4,0,0,0.0,6.0
아르헨티나,Argentina,0,유학연수,Study,4,2020-03,2020,3,0,0,14.0,6.333333333333333
아르헨티나,Argentina,0,유학연수,Study,4,2020-02,2020,2,14,0,4.0,1.6666666666666667
