국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률
그리스,공용,2005,1,1,겨울,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2005,2,1,겨울,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2005,3,1,봄,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2005,4,2,봄,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2005,5,2,봄,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2005,6,2,여름,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2005,7,3,여름,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2005,8,3,여름,0,8,1.0986122886681098,0.0,0.0,0.0,0.5108256237659906,0.22314355131420976,0.0
그리스,공용,2005,9,3,가을,0,9,0.0,1.0986122886681098,0.0,0.0,0.5108256237659906,0.20067069546215116,0.0
그리스,공용,2005,10,4,가을,0,10,1.0986122886681098,0.0,0.0,0.0,0.8472978603872036,0.33647223662121295,0.0
그리스,공용,2005,11,4,가을,0,11,0.0,1.0986122886681098,1.0986122886681098,0.0,0.5108256237659906,0.3101549283038395,0.0
그리스,공용,2005,12,4,겨울,0,12,0.0,0.0,0.0,0.0,0.5108256237659906,0.2876820724517809,0.0
그리스,공용,2006,1,1,겨울,0,13,0.0,0.0,1.0986122886681098,0.0,0.0,0.2876820724517809,0.0
그리스,공용,2006,2,1,겨울,0,14,0.0,0.0,0.0,0.0,0.0,0.2876820724517809,0.0
그리스,공용,2006,3,1,봄,0,15,0.0,0.0,0.0,0.0,0.0,0.2876820724517809,0.0
그리스,공용,2006,4,2,봄,0,16,0.0,0.0,0.0,0.0,0.0,0.2876820724517809,0.0
그리스,공용,2006,5,2,봄,0,17,0.6931471805599453,0.0,0.0,0.0,0.2876820724517809,0.3483066942682158,0.0
그리스,공용,2006,6,2,여름,0,18,0.0,0.6931471805599453,0.0,0.0,0.2876820724517809,0.3483066942682158,0.0
그리스,공용,2006,7,3,여름,0,19,0.0,0.0,0.0,0.0,0.2876820724517809,0.3483066942682158,0.0
그리스,공용,2006,8,3,여름,0,20,0.0,0.0,0.6931471805599453,1.0986122886681098,0.0,0.22314355131420976,-100.0
그리스,공용,2006,9,3,가을,0,21,0.0,0.0,0.0,0.0,0.0,0.22314355131420976,0.0
그리스,공용,2006,10,4,가을,0,22,0.0,0.0,0.0,1.0986122886681098,0.0,0.08004270767353643,-100.0
그리스,공용,2006,11,4,가을,0,23,0.6931471805599453,0.0,0.0,0.0,0.2876820724517809,0.1541506798272583,0.0
그리스,공용,2006,12,4,겨울,0,24,0.0,0.6931471805599453,0.0,0.0,0.2876820724517809,0.1541506798272583,0.0
그리스,공용,2007,1,1,겨울,0,25,0.0,0.0,0.0,0.0,0.2876820724517809,0.1541506798272583,0.0
그리스,공용,2007,2,1,겨울,0,26,0.0,0.0,0.6931471805599453,0.0,0.0,0.1541506798272583,0.0
그리스,공용,2007,3,1,봄,0,27,0.0,0.0,0.0,0.0,0.0,0.1541506798272583,0.0
그리스,공용,2007,4,2,봄,0,28,0.0,0.0,0.0,0.0,0.0,0.1541506798272583,0.0
그리스,공용,2007,5,2,봄,0,29,0.0,0.0,0.0,0.6931471805599453,0.0,0.08004270767353643,-100.0
그리스,공용,2007,6,2,여름,0,30,0.0,0.0,0.0,0.0,0.0,0.08004270767353643,0.0
그리스,공용,2007,7,3,여름,0,31,0.0,0.0,0.0,0.0,0.0,0.08004270767353643,0.0
그리스,공용,2007,8,3,여름,0,32,0.0,0.0,0.0,0.0,0.0,0.08004270767353643,0.0
그리스,공용,2007,9,3,가을,0,33,0.6931471805599453,0.0,0.0,0.0,0.2876820724517809,0.1541506798272583,0.0
그리스,공용,2007,10,4,가을,0,34,0.0,0.6931471805599453,0.0,0.0,0.2876820724517809,0.1541506798272583,0.0
그리스,공용,2007,11,4,가을,0,35,0.0,0.0,0.0,0.6931471805599453,0.2876820724517809,0.08004270767353643,-100.0
그리스,공용,2007,12,4,겨울,0,36,0.0,0.0,0.6931471805599453,0.0,0.0,0.08004270767353643,0.0
그리스,공용,2008,1,1,겨울,0,37,0.0,0.0,0.0,0.0,0.0,0.08004270767353643,0.0
그리스,공용,2008,2,1,겨울,0,38,0.0,0.0,0.0,0.0,0.0,0.08004270767353643,0.0
그리스,공용,2008,3,1,봄,0,39,0.6931471805599453,0.0,0.0,0.0,0.2876820724517809,0.1541506798272583,0.0
그리스,공용,2008,4,2,봄,0,40,0.0,0.6931471805599453,0.0,0.0,0.2876820724517809,0.1541506798272583,0.0
그리스,공용,2008,5,2,봄,0,41,0.0,0.0,0.0,0.0,0.2876820724517809,0.1541506798272583,0.0
그리스,공용,2008,6,2,여름,0,42,0.0,0.0,0.6931471805599453,0.0,0.0,0.1541506798272583,0.0
그리스,공용,2008,7,3,여름,0,43,0.0,0.0,0.0,0.0,0.0,0.1541506798272583,0.0
그리스,공용,2008,8,3,여름,0,44,0.0,0.0,0.0,0.0,0.0,0.1541506798272583,0.0
그리스,공용,2008,9,3,가을,0,45,1.0986122886681098,0.0,0.0,0.6931471805599453,0.5108256237659906,0.22314355131420976,100.0
그리스,공용,2008,10,4,가을,0,46,0.0,1.0986122886681098,0.0,0.0,0.5108256237659906,0.22314355131420976,0.0
그리스,공용,2008,11,4,가을,0,47,0.0,0.0,0.0,0.0,0.5108256237659906,0.22314355131420976,0.0
그리스,공용,2008,12,4,겨울,0,48,0.0,0.0,1.0986122886681098,0.0,0.0,0.22314355131420976,0.0
그리스,공용,2009,1,1,겨울,0,49,0.0,0.0,0.0,0.0,0.0,0.22314355131420976,0.0
그리스,공용,2009,2,1,겨울,0,50,0.0,0.0,0.0,0.0,0.0,0.22314355131420976,0.0
그리스,공용,2009,3,1,봄,0,51,0.6931471805599453,0.0,0.0,0.6931471805599453,0.2876820724517809,0.22314355131420976,0.0
그리스,공용,2009,4,2,봄,0,52,0.0,0.6931471805599453,0.0,0.0,0.2876820724517809,0.22314355131420976,0.0
그리스,공용,2009,5,2,봄,0,53,0.0,0.0,0.0,0.0,0.2876820724517809,0.22314355131420976,0.0
