월,총합,공용,관광,상용,유학연수,관광_비율
2025-06,406907,383,384346,4184,17994,94.5%
2025-07,402134,318,382186,4011,15619,95.0%
2025-08,407974,299,383343,4490,19842,94.0%
2025-09,378621,382,355998,5375,16866,94.0%
2025-10,351421,431,333357,5783,11850,94.9%
2025-11,286165,397,272027,6069,7672,95.1%
2025-12,245584,226,235210,6039,4109,95.8%
2026-01,219876,162,210292,6207,3215,95.6%
2026-02,193255,134,179359,7804,5958,92.8%
2026-03,201967,110,191429,6772,3656,94.8%
2026-04,240757,89,228239,9002,3427,94.8%
2026-05,241487,84,230652,6651,4100,95.5%
2026-06,230721,80,217904,8865,3872,94.4%
