월,총합,공용,관광,상용,유학연수,관광_비율
2025-08,133878,10,133178,122,568,99.5%
2025-09,101481,10,100941,150,380,99.5%
2025-10,78193,10,77813,92,278,99.5%
2025-11,68065,9,67744,3,309,99.5%
2025-12,51172,9,50830,0,333,99.3%
2026-01,38779,9,38401,0,369,99.0%
2026-02,23612,9,23167,0,436,98.1%
2026-03,19724,9,19407,0,308,98.4%
2026-04,14472,8,14245,0,219,98.4%
2026-05,12542,10,12339,0,193,98.4%
2026-06,13227,10,13069,0,148,98.8%
2026-07,10125,11,10003,0,111,98.8%
2026-08,5035,10,4923,0,102,97.8%
2026-09,3632,9,3563,0,60,98.1%
2026-10,2759,9,2687,0,63,97.4%
