월,총합,공용,관광,상용,유학연수,관광_비율
2026-01,95751,2822,92026,337,566,96.1%
2026-02,77044,2183,73620,458,783,95.6%
2026-03,84505,2276,81161,636,432,96.0%
2026-04,95733,2414,92203,768,348,96.3%
2026-05,96460,2523,92705,882,350,96.1%
2026-06,100407,1778,97160,1120,349,96.8%
2026-07,83416,1863,79913,1296,344,95.8%
2026-08,67554,1386,63930,1711,527,94.6%
2026-09,64369,1328,60995,1735,311,94.8%
2026-10,51745,827,48796,1870,252,94.3%
2026-11,42456,1091,39036,2142,187,91.9%
2026-12,34393,1106,31228,1948,111,90.8%
