월,총합,공용,상용,관광,유학연수,관광_비율
2026-01,303825,259,2538,287208,13820,94.5%
2026-02,206781,237,2066,193696,10782,93.7%
2026-03,187190,240,1910,175408,9632,93.7%
2026-04,160002,267,2005,147508,10222,92.2%
2026-05,112324,267,1761,101879,8417,90.7%
2026-06,87778,256,1671,77489,8362,88.3%
2026-07,74997,217,1742,64090,8948,85.5%
2026-08,58365,246,1734,48390,7995,82.9%
2026-09,51856,256,1765,42567,7268,82.1%
2026-10,53482,217,1728,45146,6391,84.4%
2026-11,50610,242,1705,42006,6657,83.0%
2026-12,50711,245,1857,42350,6259,83.5%
