월,총합,공용,상용,관광,유학연수,관광_비율
2026-01,1360737.0950964887,0,0,1360095.6169244682,641.4781720204942,100.0%
2026-02,1163139.4216634035,0,0,1162867.365161459,272.05650194466284,100.0%
2026-03,1317286.4211158308,0,0,1313312.086794487,3974.3343213438366,99.7%
2026-04,1047018.2089683756,0,0,1045927.1576294899,1091.0513388857212,99.9%
2026-05,1424895.246328367,0,0,1424590.9077513746,304.3385769922487,100.0%
2026-06,1393097.3997374026,0,0,1392658.2243615256,439.1753758769665,100.0%
2026-07,1744524.0103605208,0,0,1743946.9572384113,577.0531221093984,100.0%
2026-08,1401455.5818790745,0,0,1401148.7197144323,306.86216464227795,100.0%
2026-09,1425074.638802109,0,0,1421853.358721452,3221.280080657035,99.8%
2026-10,1404652.1857475876,0,0,1403358.8776807867,1293.3080668010446,99.9%
2026-11,1679367.7131482267,0,0,1679166.201073689,201.51207453773478,100.0%
2026-12,1468593.7628433174,0,0,1468298.580462309,295.18238100839113,100.0%
