국적,목적,날짜,예측입국자수
중국,관광,2025-06-01,382807
중국,관광,2025-07-01,368362
중국,관광,2025-08-01,355993
중국,관광,2025-09-01,345391
중국,관광,2025-10-01,335629
중국,관광,2025-11-01,326639
중국,관광,2025-12-01,317194
중국,관광,2026-01-01,307547
중국,관광,2026-02-01,298684
중국,관광,2026-03-01,289213
중국,관광,2026-04-01,281201
중국,관광,2026-05-01,275385
중국,유학연수,2025-06-01,13246
중국,유학연수,2025-07-01,17020
중국,유학연수,2025-08-01,28755
중국,유학연수,2025-09-01,24960
중국,유학연수,2025-10-01,13181
중국,유학연수,2025-11-01,10183
중국,유학연수,2025-12-01,9162
중국,유학연수,2026-01-01,13191
중국,유학연수,2026-02-01,26266
중국,유학연수,2026-03-01,29037
중국,유학연수,2026-04-01,18656
중국,유학연수,2026-05-01,21233
중국,공용,2025-06-01,319
중국,공용,2025-07-01,270
중국,공용,2025-08-01,294
중국,공용,2025-09-01,359
중국,공용,2025-10-01,416
중국,공용,2025-11-01,374
중국,공용,2025-12-01,266
중국,공용,2026-01-01,182
중국,공용,2026-02-01,189
중국,공용,2026-03-01,254
중국,공용,2026-04-01,312
중국,공용,2026-05-01,327
중국,상용,2025-06-01,3660
중국,상용,2025-07-01,3546
중국,상용,2025-08-01,3433
중국,상용,2025-09-01,3314
중국,상용,2025-10-01,3208
중국,상용,2025-11-01,3111
중국,상용,2025-12-01,3029
중국,상용,2026-01-01,2999
중국,상용,2026-02-01,3055
중국,상용,2026-03-01,3059
중국,상용,2026-04-01,3040
중국,상용,2026-05-01,3021
