국적,목적,날짜,예측입국자수
터키,관광,2025-06-01,3553
터키,관광,2025-07-01,3557
터키,관광,2025-08-01,3560
터키,관광,2025-09-01,3564
터키,관광,2025-10-01,3564
터키,관광,2025-11-01,3560
터키,관광,2025-12-01,3550
터키,관광,2026-01-01,3534
터키,관광,2026-02-01,3510
터키,관광,2026-03-01,3482
터키,관광,2026-04-01,3452
터키,관광,2026-05-01,3420
터키,유학연수,2025-06-01,1364
터키,유학연수,2025-07-01,1364
터키,유학연수,2025-08-01,1364
터키,유학연수,2025-09-01,1364
터키,유학연수,2025-10-01,1364
터키,유학연수,2025-11-01,1364
터키,유학연수,2025-12-01,1364
터키,유학연수,2026-01-01,1364
터키,유학연수,2026-02-01,1364
터키,유학연수,2026-03-01,1364
터키,유학연수,2026-04-01,1364
터키,유학연수,2026-05-01,1364
터키,공용,2025-06-01,19
터키,공용,2025-07-01,21
터키,공용,2025-08-01,31
터키,공용,2025-09-01,40
터키,공용,2025-10-01,61
터키,공용,2025-11-01,51
터키,공용,2025-12-01,43
터키,공용,2026-01-01,46
터키,공용,2026-02-01,47
터키,공용,2026-03-01,38
터키,공용,2026-04-01,53
터키,공용,2026-05-01,51
터키,상용,2025-06-01,14
터키,상용,2025-07-01,14
터키,상용,2025-08-01,16
터키,상용,2025-09-01,15
터키,상용,2025-10-01,15
터키,상용,2025-11-01,15
터키,상용,2025-12-01,14
터키,상용,2026-01-01,14
터키,상용,2026-02-01,15
터키,상용,2026-03-01,15
터키,상용,2026-04-01,15
터키,상용,2026-05-01,15
