국적,목적,날짜,예측입국자수
그리스,관광,2025-06-01,684
그리스,관광,2025-07-01,681
그리스,관광,2025-08-01,677
그리스,관광,2025-09-01,671
그리스,관광,2025-10-01,663
그리스,관광,2025-11-01,648
그리스,관광,2025-12-01,628
그리스,관광,2026-01-01,605
그리스,관광,2026-02-01,578
그리스,관광,2026-03-01,549
그리스,관광,2026-04-01,518
그리스,관광,2026-05-01,486
그리스,유학연수,2025-06-01,1957
그리스,유학연수,2025-07-01,1957
그리스,유학연수,2025-08-01,1957
그리스,유학연수,2025-09-01,1957
그리스,유학연수,2025-10-01,1957
그리스,유학연수,2025-11-01,1957
그리스,유학연수,2025-12-01,1957
그리스,유학연수,2026-01-01,1957
그리스,유학연수,2026-02-01,1957
그리스,유학연수,2026-03-01,1957
그리스,유학연수,2026-04-01,1957
그리스,유학연수,2026-05-01,1957
그리스,공용,2025-06-01,1
그리스,공용,2025-07-01,1
그리스,공용,2025-08-01,1
그리스,공용,2025-09-01,3
그리스,공용,2025-10-01,1
그리스,공용,2025-11-01,1
그리스,공용,2025-12-01,1
그리스,공용,2026-01-01,3
그리스,공용,2026-02-01,2
그리스,공용,2026-03-01,2
그리스,공용,2026-04-01,1
그리스,공용,2026-05-01,2
그리스,상용,2025-06-01,11
그리스,상용,2025-07-01,10
그리스,상용,2025-08-01,17
그리스,상용,2025-09-01,19
그리스,상용,2025-10-01,13
그리스,상용,2025-11-01,11
그리스,상용,2025-12-01,10
그리스,상용,2026-01-01,14
그리스,상용,2026-02-01,16
그리스,상용,2026-03-01,14
그리스,상용,2026-04-01,16
그리스,상용,2026-05-01,15
