국적,목적,날짜,예측입국자수
중국,관광,2025-06-01,368487
중국,관광,2025-07-01,368487
중국,관광,2025-08-01,368487
중국,관광,2025-09-01,368487
중국,관광,2025-10-01,368487
중국,관광,2025-11-01,368487
중국,관광,2025-12-01,368487
중국,관광,2026-01-01,368487
중국,관광,2026-02-01,368487
중국,관광,2026-03-01,368487
중국,관광,2026-04-01,368487
중국,관광,2026-05-01,368487
중국,유학연수,2025-06-01,19952
중국,유학연수,2025-07-01,19952
중국,유학연수,2025-08-01,19952
중국,유학연수,2025-09-01,19952
중국,유학연수,2025-10-01,19952
중국,유학연수,2025-11-01,19952
중국,유학연수,2025-12-01,19952
중국,유학연수,2026-01-01,19952
중국,유학연수,2026-02-01,19952
중국,유학연수,2026-03-01,19952
중국,유학연수,2026-04-01,19952
중국,유학연수,2026-05-01,19952
중국,공용,2025-06-01,465
중국,공용,2025-07-01,465
중국,공용,2025-08-01,465
중국,공용,2025-09-01,465
중국,공용,2025-10-01,465
중국,공용,2025-11-01,465
중국,공용,2025-12-01,465
중국,공용,2026-01-01,465
중국,공용,2026-02-01,465
중국,공용,2026-03-01,465
중국,공용,2026-04-01,465
중국,공용,2026-05-01,465
중국,상용,2025-06-01,9118
중국,상용,2025-07-01,9118
중국,상용,2025-08-01,9118
중국,상용,2025-09-01,9118
중국,상용,2025-10-01,9118
중국,상용,2025-11-01,9118
중국,상용,2025-12-01,9118
중국,상용,2026-01-01,9118
중국,상용,2026-02-01,9118
중국,상용,2026-03-01,9118
중국,상용,2026-04-01,9118
중국,상용,2026-05-01,9118
중국,관광_Prophet,2025-06-01,122547
중국,관광_Prophet,2025-07-01,162413
중국,관광_Prophet,2025-08-01,176595
중국,관광_Prophet,2025-09-01,142654
중국,관광_Prophet,2025-10-01,145845
중국,관광_Prophet,2025-11-01,105870
중국,관광_Prophet,2025-12-01,103794
중국,관광_Prophet,2026-01-01,109295
중국,관광_Prophet,2026-02-01,89589
중국,관광_Prophet,2026-03-01,95937
중국,관광_Prophet,2026-04-01,126894
중국,관광_Prophet,2026-05-01,122187
중국,유학연수_Prophet,2025-06-01,10245
중국,유학연수_Prophet,2025-07-01,9468
중국,유학연수_Prophet,2025-08-01,28889
중국,유학연수_Prophet,2025-09-01,18145
중국,유학연수_Prophet,2025-10-01,10508
중국,유학연수_Prophet,2025-11-01,9459
중국,유학연수_Prophet,2025-12-01,10255
중국,유학연수_Prophet,2026-01-01,8738
중국,유학연수_Prophet,2026-02-01,29834
중국,유학연수_Prophet,2026-03-01,20651
중국,유학연수_Prophet,2026-04-01,8836
중국,유학연수_Prophet,2026-05-01,11118
중국,공용_Prophet,2025-06-01,225
중국,공용_Prophet,2025-07-01,179
중국,공용_Prophet,2025-08-01,159
중국,공용_Prophet,2025-09-01,257
중국,공용_Prophet,2025-10-01,343
중국,공용_Prophet,2025-11-01,312
중국,공용_Prophet,2025-12-01,178
중국,공용_Prophet,2026-01-01,32
중국,공용_Prophet,2026-02-01,41
중국,공용_Prophet,2026-03-01,126
중국,공용_Prophet,2026-04-01,183
중국,공용_Prophet,2026-05-01,231
중국,상용_Prophet,2025-06-01,1732
중국,상용_Prophet,2025-07-01,2649
중국,상용_Prophet,2025-08-01,1709
중국,상용_Prophet,2025-09-01,2069
중국,상용_Prophet,2025-10-01,1866
중국,상용_Prophet,2025-11-01,1733
중국,상용_Prophet,2025-12-01,1193
중국,상용_Prophet,2026-01-01,0
중국,상용_Prophet,2026-02-01,0
중국,상용_Prophet,2026-03-01,1228
중국,상용_Prophet,2026-04-01,1265
중국,상용_Prophet,2026-05-01,1715
