국적,목적,날짜,예측입국자수
일본,관광,2025-06-01,13516
일본,관광,2025-07-01,23130
일본,관광,2025-08-01,21972
일본,관광,2025-09-01,27601
일본,관광,2025-10-01,27075
일본,관광,2025-11-01,25510
일본,관광,2025-12-01,23918
일본,관광,2026-01-01,22440
일본,관광,2026-02-01,21133
일본,관광,2026-03-01,20015
일본,관광,2026-04-01,19077
일본,관광,2026-05-01,18301
일본,유학연수,2025-06-01,148
일본,유학연수,2025-07-01,157
일본,유학연수,2025-08-01,174
일본,유학연수,2025-09-01,142
일본,유학연수,2025-10-01,167
일본,유학연수,2025-11-01,181
일본,유학연수,2025-12-01,188
일본,유학연수,2026-01-01,191
일본,유학연수,2026-02-01,192
일본,유학연수,2026-03-01,191
일본,유학연수,2026-04-01,189
일본,유학연수,2026-05-01,186
일본,공용,2025-06-01,30
일본,공용,2025-07-01,34
일본,공용,2025-08-01,39
일본,공용,2025-09-01,34
일본,공용,2025-10-01,36
일본,공용,2025-11-01,38
일본,공용,2025-12-01,39
일본,공용,2026-01-01,40
일본,공용,2026-02-01,40
일본,공용,2026-03-01,40
일본,공용,2026-04-01,39
일본,공용,2026-05-01,39
일본,상용,2025-06-01,224
일본,상용,2025-07-01,261
일본,상용,2025-08-01,259
일본,상용,2025-09-01,269
일본,상용,2025-10-01,269
일본,상용,2025-11-01,265
일본,상용,2025-12-01,260
일본,상용,2026-01-01,254
일본,상용,2026-02-01,249
일본,상용,2026-03-01,243
일본,상용,2026-04-01,238
일본,상용,2026-05-01,234
일본,관광_Prophet,2025-06-01,126185
일본,관광_Prophet,2025-07-01,127225
일본,관광_Prophet,2025-08-01,165611
일본,관광_Prophet,2025-09-01,157034
일본,관광_Prophet,2025-10-01,164829
일본,관광_Prophet,2025-11-01,161861
일본,관광_Prophet,2025-12-01,141386
일본,관광_Prophet,2026-01-01,107267
일본,관광_Prophet,2026-02-01,126556
일본,관광_Prophet,2026-03-01,187557
일본,관광_Prophet,2026-04-01,127577
일본,관광_Prophet,2026-05-01,136117
일본,유학연수_Prophet,2025-06-01,837
일본,유학연수_Prophet,2025-07-01,757
일본,유학연수_Prophet,2025-08-01,2138
일본,유학연수_Prophet,2025-09-01,1059
일본,유학연수_Prophet,2025-10-01,667
일본,유학연수_Prophet,2025-11-01,762
일본,유학연수_Prophet,2025-12-01,756
일본,유학연수_Prophet,2026-01-01,1068
일본,유학연수_Prophet,2026-02-01,1985
일본,유학연수_Prophet,2026-03-01,1094
일본,유학연수_Prophet,2026-04-01,602
일본,유학연수_Prophet,2026-05-01,841
일본,공용_Prophet,2025-06-01,107
일본,공용_Prophet,2025-07-01,97
일본,공용_Prophet,2025-08-01,121
일본,공용_Prophet,2025-09-01,140
일본,공용_Prophet,2025-10-01,222
일본,공용_Prophet,2025-11-01,249
일본,공용_Prophet,2025-12-01,98
일본,공용_Prophet,2026-01-01,107
일본,공용_Prophet,2026-02-01,88
일본,공용_Prophet,2026-03-01,129
일본,공용_Prophet,2026-04-01,104
일본,공용_Prophet,2026-05-01,93
일본,상용_Prophet,2025-06-01,848
일본,상용_Prophet,2025-07-01,820
일본,상용_Prophet,2025-08-01,1103
일본,상용_Prophet,2025-09-01,1009
일본,상용_Prophet,2025-10-01,981
일본,상용_Prophet,2025-11-01,856
일본,상용_Prophet,2025-12-01,685
일본,상용_Prophet,2026-01-01,1373
일본,상용_Prophet,2026-02-01,954
일본,상용_Prophet,2026-03-01,861
일본,상용_Prophet,2026-04-01,659
일본,상용_Prophet,2026-05-01,1136
