국적,목적,YearMonth,Headcount
아시아주,관광,2019-01-01,757334
아시아주,상용,2019-01-01,9906
아시아주,공용,2019-01-01,1348
아시아주,유학연수,2019-01-01,13384
아시아주,기타,2019-01-01,119866
일  본,관광,2019-01-01,198805
일  본,상용,2019-01-01,2233
일  본,공용,2019-01-01,127
일  본,유학연수,2019-01-01,785
일  본,기타,2019-01-01,4576
인  도,관광,2019-01-01,2318
인  도,상용,2019-01-01,2656
인  도,공용,2019-01-01,46
인  도,유학연수,2019-01-01,177
인  도,기타,2019-01-01,3474
베트남,관광,2019-01-01,10739
베트남,상용,2019-01-01,763
베트남,공용,2019-01-01,110
베트남,유학연수,2019-01-01,1667
베트남,기타,2019-01-01,6904
미얀마,관광,2019-01-01,1304
미얀마,상용,2019-01-01,10
미얀마,공용,2019-01-01,31
미얀마,유학연수,2019-01-01,67
미얀마,기타,2019-01-01,3877
몽  골,관광,2019-01-01,8358
몽  골,상용,2019-01-01,77
몽  골,공용,2019-01-01,304
몽  골,유학연수,2019-01-01,484
몽  골,기타,2019-01-01,562
스리랑카,관광,2019-01-01,157
스리랑카,상용,2019-01-01,54
스리랑카,공용,2019-01-01,5
스리랑카,유학연수,2019-01-01,28
스리랑카,기타,2019-01-01,1043
파키스탄,관광,2019-01-01,238
파키스탄,상용,2019-01-01,178
파키스탄,공용,2019-01-01,10
파키스탄,유학연수,2019-01-01,193
파키스탄,기타,2019-01-01,413
방글라데시,관광,2019-01-01,149
방글라데시,상용,2019-01-01,126
방글라데시,공용,2019-01-01,27
방글라데시,유학연수,2019-01-01,97
방글라데시,기타,2019-01-01,848
중  국,관광,2019-01-01,320113
중  국,상용,2019-01-01,2993
중  국,공용,2019-01-01,138
중  국,유학연수,2019-01-01,8793
중  국,기타,2019-01-01,60777
대  만,관광,2019-01-01,86393
대  만,상용,2019-01-01,74
대  만,공용,2019-01-01,22
대  만,유학연수,2019-01-01,180
대  만,기타,2019-01-01,1285
필리핀,관광,2019-01-01,14279
필리핀,상용,2019-01-01,211
필리핀,공용,2019-01-01,161
필리핀,유학연수,2019-01-01,184
필리핀,기타,2019-01-01,15638
홍  콩,관광,2019-01-01,34653
홍  콩,상용,2019-01-01,59
홍  콩,공용,2019-01-01,2
홍  콩,유학연수,2019-01-01,90
홍  콩,기타,2019-01-01,1092
태  국,관광,2019-01-01,34004
태  국,상용,2019-01-01,37
태  국,공용,2019-01-01,199
태  국,유학연수,2019-01-01,96
태  국,기타,2019-01-01,6998
말레이시아,관광,2019-01-01,19043
말레이시아,상용,2019-01-01,95
말레이시아,공용,2019-01-01,7
말레이시아,유학연수,2019-01-01,99
말레이시아,기타,2019-01-01,2821
싱가포르,관광,2019-01-01,8372
싱가포르,상용,2019-01-01,94
싱가포르,공용,2019-01-01,8
싱가포르,유학연수,2019-01-01,48
싱가포르,기타,2019-01-01,1333
인도네시아,관광,2019-01-01,14183
인도네시아,상용,2019-01-01,136
인도네시아,공용,2019-01-01,38
인도네시아,유학연수,2019-01-01,187
인도네시아,기타,2019-01-01,4298
아시아주 기타,관광,2019-01-01,4226
아시아주 기타,상용,2019-01-01,110
아시아주 기타,공용,2019-01-01,113
아시아주 기타,유학연수,2019-01-01,209
아시아주 기타,기타,2019-01-01,3927
중 동,관광,2019-01-01,7748
중 동,상용,2019-01-01,931
중 동,공용,2019-01-01,75
중 동,유학연수,2019-01-01,703
중 동,기타,2019-01-01,5655
우즈베키스탄,관광,2019-01-01,1958
우즈베키스탄,상용,2019-01-01,561
우즈베키스탄,공용,2019-01-01,0
우즈베키스탄,유학연수,2019-01-01,407
우즈베키스탄,기타,2019-01-01,2828
터  키,관광,2019-01-01,792
터  키,상용,2019-01-01,13
터  키,공용,2019-01-01,32
터  키,유학연수,2019-01-01,36
터  키,기타,2019-01-01,912
이스라엘,관광,2019-01-01,727
이스라엘,상용,2019-01-01,12
이스라엘,공용,2019-01-01,0
이스라엘,유학연수,2019-01-01,9
이스라엘,기타,2019-01-01,57
이  란,관광,2019-01-01,60
이  란,상용,2019-01-01,45
이  란,공용,2019-01-01,10
이  란,유학연수,2019-01-01,23
이  란,기타,2019-01-01,46
카자흐스탄,관광,2019-01-01,2185
카자흐스탄,상용,2019-01-01,24
카자흐스탄,공용,2019-01-01,7
카자흐스탄,유학연수,2019-01-01,92
카자흐스탄,기타,2019-01-01,1266
요르단,관광,2019-01-01,66
요르단,상용,2019-01-01,58
요르단,공용,2019-01-01,2
요르단,유학연수,2019-01-01,4
요르단,기타,2019-01-01,53
사우디아라비아,관광,2019-01-01,367
사우디아라비아,상용,2019-01-01,22
사우디아라비아,공용,2019-01-01,3
사우디아라비아,유학연수,2019-01-01,61
사우디아라비아,기타,2019-01-01,65
이라크,관광,2019-01-01,40
이라크,상용,2019-01-01,72
이라크,공용,2019-01-01,1
이라크,유학연수,2019-01-01,2
이라크,기타,2019-01-01,11
중 동 기타,관광,2019-01-01,1553
중 동 기타,상용,2019-01-01,124
중 동 기타,공용,2019-01-01,20
중 동 기타,유학연수,2019-01-01,69
중 동 기타,기타,2019-01-01,417
미 주,관광,2019-01-01,54982
미 주,상용,2019-01-01,526
미 주,공용,2019-01-01,2657
미 주,유학연수,2019-01-01,479
미 주,기타,2019-01-01,22277
미  국,관광,2019-01-01,42989
미  국,상용,2019-01-01,418
미  국,공용,2019-01-01,2578
미  국,유학연수,2019-01-01,229
미  국,기타,2019-01-01,16523
에콰도르,관광,2019-01-01,46
에콰도르,상용,2019-01-01,0
에콰도르,공용,2019-01-01,1
에콰도르,유학연수,2019-01-01,25
에콰도르,기타,2019-01-01,50
쿠  바,관광,2019-01-01,0
쿠  바,상용,2019-01-01,2
쿠  바,공용,2019-01-01,0
쿠  바,유학연수,2019-01-01,0
쿠  바,기타,2019-01-01,4
캐나다,관광,2019-01-01,8034
캐나다,상용,2019-01-01,57
캐나다,공용,2019-01-01,30
캐나다,유학연수,2019-01-01,43
캐나다,기타,2019-01-01,4296
브라질,관광,2019-01-01,1136
브라질,상용,2019-01-01,16
브라질,공용,2019-01-01,9
브라질,유학연수,2019-01-01,41
브라질,기타,2019-01-01,403
멕시코,관광,2019-01-01,1282
멕시코,상용,2019-01-01,11
멕시코,공용,2019-01-01,7
멕시코,유학연수,2019-01-01,38
멕시코,기타,2019-01-01,515
칠  레,관광,2019-01-01,360
칠  레,상용,2019-01-01,1
칠  레,공용,2019-01-01,0
칠  레,유학연수,2019-01-01,11
칠  레,기타,2019-01-01,35
아르헨티나,관광,2019-01-01,294
아르헨티나,상용,2019-01-01,2
아르헨티나,공용,2019-01-01,1
아르헨티나,유학연수,2019-01-01,4
아르헨티나,기타,2019-01-01,53
콜롬비아,관광,2019-01-01,233
콜롬비아,상용,2019-01-01,2
콜롬비아,공용,2019-01-01,7
콜롬비아,유학연수,2019-01-01,19
콜롬비아,기타,2019-01-01,68
페  루,관광,2019-01-01,177
페  루,상용,2019-01-01,1
페  루,공용,2019-01-01,5
페  루,유학연수,2019-01-01,15
페  루,기타,2019-01-01,53
