연도,월,앙상블예측,RandomForest_예측,XGBoost_예측,GradientBoosting_예측,LinearRegression_예측
2026,1,449994,458084,463302,445816,435943
2026,2,407931,413637,419137,406022,395528
2026,3,450450,457000,462781,449797,435336
2026,4,436962,441684,447568,434240,426534
2026,5,453802,458795,464356,452859,441666
2026,6,437855,443261,445939,437055,427431
2026,7,452544,456448,461408,451028,443200
2026,8,455002,457293,467529,453751,443450
2026,9,437820,439569,449233,436854,427398
2026,10,453751,457006,464636,452325,443057
2026,11,439410,441662,450711,438259,428870
2026,12,452846,456576,464270,451049,441647
