국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,예측_Prophet,예측_SARIMAX,예측_ExponentialSmoothing,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_LSTM_CPU,예측_GRU_CPU,예측_DenseNN_CPU,예측_LSTM_GPU,예측_GRU_GPU,예측_BiLSTM_GPU,예측_평균,최고모델_예측
그리스,공용,2020,1,1,겨울,0,181,8,0.0,2.0,4.0,3.6666666666666665,2.6666666666666665,100.0,0,0,1,5589.029622102883,4630.6211877472415,4692.382673329717,143.66427358184944,83.6232525864801,16.6895316411141,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2698.84668910418,83.6232525864801
그리스,공용,2020,3,1,봄,1,183,2,0.0,0.0,10.0,3.333333333333333,2.0,-80.0,0,0,2,5589.029622102883,4630.6211877472415,4692.382673329717,69.11795492368137,9.088845851298657,8.920621860493855,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2685.775886173016,9.088845851298657
그리스,공용,2020,7,3,여름,1,187,1,0.0,0.0,5.0,0.3333333333333333,1.4166666666666667,-80.0,0,0,3,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,15.38402676313348,5.729983682883715,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.581458305104,15.38402676313348
그리스,공용,2020,9,3,가을,1,189,2,0.0,0.0,1.0,1.0,1.5,100.0,0,0,0,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,15.38402676313348,4.9960315217371525,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.520295625009,15.38402676313348
그리스,공용,2021,2,1,겨울,1,194,1,0.0,0.0,0.0,0.3333333333333333,0.5,inf,0,0,1,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,5.572188801083696,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.465719182433,14.152952172880065
그리스,공용,2021,5,2,봄,1,197,1,0.0,1.0,0.0,0.3333333333333333,0.4166666666666667,inf,0,0,2,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,4.433365569797456,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.370817246493,14.152952172880065
그리스,공용,2021,8,3,여름,1,200,1,0.0,1.0,0.0,0.3333333333333333,0.4166666666666667,inf,0,0,3,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,3.8150658213054682,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.319292267452,14.152952172880065
그리스,공용,2021,9,3,가을,1,201,1,1.0,0.0,2.0,0.6666666666666666,0.3333333333333333,-50.0,0,0,0,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,3.4928733984641243,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.2924428988817,14.152952172880065
그리스,공용,2021,10,4,가을,1,202,2,1.0,0.0,0.0,1.3333333333333333,0.5,inf,0,0,0,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,3.480197797641,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.291386598813,14.152952172880065
그리스,공용,2021,11,4,가을,1,203,3,2.0,1.0,0.0,2.0,0.75,inf,0,0,0,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,13.688142035311706,3.485417911023964,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.253087430131,13.688142035311706
