국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,date,예측_Prophet,예측_SARIMAX,예측_ExponentialSmoothing,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_LSTM_CPU,예측_GRU_CPU,예측_DenseNN_CPU,예측_LSTM_GPU,예측_GRU_GPU,예측_BiLSTM_GPU,예측_Ensemble,정상화_예측값,실제대비_비율
일본,유학연수,2020,1,1,겨울,0,181,1035,769.0,556.0,785.0,872.3333333333334,1091.25,31.84713375796178,43,3,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,928.2363166782054,1127.8049891917642,890.1803326528466,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3847.9436849158797,3847.9436849158797,3.7178199854259706
사우디아라비아,유학연수,2020,1,1,겨울,0,181,94,34.0,43.0,61.0,60.0,65.0,54.09836065573771,23,3,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,67.29334652866646,75.22112107764144,89.53954756949504,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3652.980897609028,3652.980897609028,38.86149891073434
카자흐스탄,유학연수,2020,1,1,겨울,0,181,130,57.0,30.0,92.0,74.66666666666667,155.0,41.30434782608695,47,3,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,94.20207351258571,96.2988639501798,131.21217932139325,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3659.5063277912272,3659.5063277912272,28.150048675317134
대양주,관광,2020,1,1,겨울,0,181,15046,21567.0,17592.0,15379.0,17111.666666666668,15865.166666666666,-2.1652903309708047,6,1,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,12748.169077492452,14834.72120540239,14795.927336309524,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,6699.514386275634,6699.514386275634,0.4452688014273318
캐나다,유학연수,2020,1,1,겨울,0,181,41,49.0,26.0,43.0,49.66666666666666,57.91666666666666,-4.651162790697675,48,3,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,48.12876365689954,44.179483619606515,42.44704214456373,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3645.752665494582,3645.752665494582,88.92079671938005
피지,공용,2020,1,1,겨울,0,181,3,1.0,3.0,2.0,2.0,2.1666666666666665,50.0,58,0,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,16.416963724646042,8.78646680325838,3.181711313465284,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3638.050749965373,3638.050749965373,1212.683583321791
카자흐스탄,상용,2020,1,1,겨울,0,181,21,8.0,10.0,24.0,12.333333333333334,14.083333333333334,-12.5,47,2,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,10.880733921428531,0.6226303978415269,20.759671798839577,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3638.4919284540356,3638.4919284540356,173.26152040257313
피지,유학연수,2020,1,1,겨울,0,181,1,0.0,0.0,0.0,1.3333333333333333,1.6666666666666667,inf,58,3,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,7.365847468541068,2.1962831917804766,1.8432411572781364,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3636.8972041626666,3636.8972041626666,3636.8972041626666
에콰도르,상용,2020,1,1,겨울,0,181,0,0.0,0.0,0.0,0.0,0.0,0.0,30,2,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,7.905612925085147,2.091345913427612,0.0,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3636.77638826118,3636.77638826118,inf
스위스,공용,2020,1,1,겨울,0,181,4,4.0,3.0,0.0,3.0,3.083333333333333,inf,26,0,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,7.905612925085147,2.432480409853034,1.5585841517576526,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3636.92537817285,3636.92537817285,909.2313445432125
그리스,상용,2020,1,1,겨울,0,181,37,18.0,21.0,17.0,23.666666666666668,21.83333333333333,117.64705882352942,0,2,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,27.712578326459337,33.97375333663901,35.10182054418747,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3643.157509505867,3643.157509505867,98.46371647313154
네덜란드,상용,2020,1,1,겨울,0,181,30,23.0,28.0,47.0,26.33333333333333,35.916666666666664,-36.17021276595745,2,2,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,13.845823826918105,11.605573561523192,30.145420037653857,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3640.239945242467,3640.239945242467,121.34133150808223
몽골,유학연수,2020,1,1,겨울,0,181,840,535.0,271.0,484.0,594.3333333333334,754.3333333333334,73.55371900826447,13,3,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,635.9047943735361,755.5050777422701,744.9379657838558,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3790.6527638577822,3790.6527638577822,4.512681861735455
몽골,공용,2020,1,1,겨울,0,181,359,299.0,421.0,304.0,361.0,320.25,18.09210526315789,13,0,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,370.14472961315806,368.06314782305924,354.30172920056737,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3714.4205550771785,3714.4205550771785,10.346575362331974
키리바시,상용,2020,1,1,겨울,0,181,0,0.0,0.0,0.0,0.0,0.0,0.0,51,2,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,7.905612925085147,2.091345913427612,0.0,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3636.77638826118,3636.77638826118,inf
브라질,유학연수,2020,1,1,겨울,0,181,35,22.0,15.0,41.0,23.33333333333333,34.0,-14.634146341463412,22,3,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,11.407888458389545,14.920251741605123,34.83849985347412,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3640.7110385749093,3640.7110385749093,104.02031538785455
이란,공용,2020,1,1,겨울,0,181,1,5.0,21.0,10.0,3.333333333333333,7.333333333333333,-90.0,37,0,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,5.026065432554617,0.6346196094744102,1.2939538656833491,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3636.5935517731414,3636.5935517731414,3636.5935517731414
대만,관광,2020,1,1,겨울,0,181,108623,88881.0,126421.0,86393.0,99366.33333333331,105089.33333333331,25.73125137453266,5,1,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,35552.99436640962,33808.0660472478,30510.436818181817,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,10760.841671989907,10760.841671989907,0.09906595906934909
인도네시아,관광,2020,1,1,겨울,0,181,14336,23216.0,20527.0,14183.0,18580.33333333333,16063.25,1.078756257491363,42,1,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,14140.33597966978,14717.283803168904,14148.118295454546,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,6724.533702690801,6724.533702690801,0.4690662460024275
이라크,관광,2020,1,1,겨울,0,181,58,84.0,190.0,40.0,76.0,114.41666666666669,45.0,36,1,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,76.09932644070409,81.77195178451159,60.70758658438703,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3651.7275850011765,3651.7275850011765,62.96082043105477
벨기에,관광,2020,1,1,겨울,0,181,471,570.0,1281.0,490.0,660.6666666666666,988.0,-3.877551020408163,20,1,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,650.2006292737292,557.0329199805866,483.9291175020799,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3755.9775232199654,3755.9775232199654,7.974474571592284
베네수엘라,공용,2020,1,1,겨울,0,181,4,0.0,0.0,3.0,1.6666666666666667,1.8333333333333333,33.33333333333333,18,0,1,2020-01-01,5268.347594605177,4364.9298081224,4423.14760190916,16.416963724646042,8.060549312010073,4.227741485779589,1526.5902920081967,2305.2738217213114,4381.772028688524,2113.4313524590166,1936.271900614754,3968.8560450819673,3638.0791426344967,3638.0791426344967,909.5197856586242
