국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,date,trend,lag_1,lag_3,lag_6,lag_12,ma_3,ma_6,ma_12,sin_month,cos_month,vs_lag12,vs_ma12,nat_mean,nat_std,pur_mean,pur_std,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_Weighted_Ensemble
그리스,공용,2020,1,1,겨울,0,181,8,0.0,2.0,4.0,3.6666666666666665,2.6666666666666665,100.0,0,0,1,2020-01-01,62,3.0,1.0,2.0,3.0,4.333333333333333,3.3333333333333335,3.6666666666666665,0.49999999999999994,0.8660254037844387,2.0,1.7142857142857144,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,34.94837978926982,6.240198266189154,269.5906942086505
그리스,공용,2020,3,1,봄,1,183,2,0.0,0.0,10.0,3.333333333333333,2.0,-80.0,0,0,2,2020-03-01,63,8.0,2.0,1.0,1.0,4.333333333333333,3.5,3.75,1.0,6.123233995736766e-17,1.0,0.42105263157894735,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.91234182638675,4.173050372269871,259.68950288913504
그리스,공용,2020,7,3,여름,1,187,1,0.0,0.0,5.0,0.3333333333333333,1.4166666666666667,-80.0,0,0,3,2020-07-01,64,2.0,3.0,5.0,3.0,3.6666666666666665,2.8333333333333335,3.5833333333333335,-0.4999999999999997,-0.8660254037844388,0.25,0.21818181818181814,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.404641479024819,259.43158964956285
그리스,공용,2020,9,3,가을,1,189,2,0.0,0.0,1.0,1.0,1.5,100.0,0,0,0,2020-09-01,65,1.0,8.0,1.0,4.0,1.6666666666666667,3.0,3.4166666666666665,-1.0,-1.8369701987210297e-16,0.4,0.45283018867924535,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.372170691366877,259.4207154267823
그리스,공용,2021,2,1,겨울,1,194,1,0.0,0.0,0.0,0.3333333333333333,0.5,inf,0,0,1,2021-02-01,66,2.0,2.0,2.0,4.0,1.3333333333333333,2.8333333333333335,3.1666666666666665,0.8660254037844386,0.5000000000000001,0.2,0.24000000000000005,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.2979922810673026,259.3958736345967
그리스,공용,2021,5,2,봄,1,197,1,0.0,1.0,0.0,0.3333333333333333,0.4166666666666667,inf,0,0,2,2021-05-01,67,1.0,1.0,3.0,10.0,1.3333333333333333,2.5,2.4166666666666665,0.49999999999999994,-0.8660254037844387,0.09090909090909091,0.29268292682926833,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.4897521572875934,259.46009257613736
그리스,공용,2021,8,3,여름,1,200,1,0.0,1.0,0.0,0.3333333333333333,0.4166666666666667,inf,0,0,3,2021-08-01,68,1.0,2.0,8.0,2.0,1.0,1.3333333333333333,2.3333333333333335,-0.8660254037844385,-0.5000000000000004,0.3333333333333333,0.3,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.3791082743986447,259.4230387712063
그리스,공용,2021,9,3,가을,1,201,1,1.0,0.0,2.0,0.6666666666666666,0.3333333333333333,-50.0,0,0,0,2021-09-01,69,1.0,1.0,2.0,1.0,1.0,1.1666666666666667,2.3333333333333335,-1.0,-1.8369701987210297e-16,0.5,0.3,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.1846094217513823,259.3579025670426
그리스,공용,2021,10,4,가을,1,202,2,1.0,0.0,0.0,1.3333333333333333,0.5,inf,0,0,0,2021-10-01,70,1.0,1.0,1.0,5.0,1.3333333333333333,1.3333333333333333,2.0833333333333335,-0.8660254037844386,0.5000000000000001,0.3333333333333333,0.6486486486486486,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.35994251068681,259.4166203009629
그리스,공용,2021,11,4,가을,1,203,3,2.0,1.0,0.0,2.0,0.75,inf,0,0,0,2021-11-01,71,2.0,1.0,2.0,1.0,2.0,1.5,2.25,-0.5000000000000004,0.8660254037844384,1.5,0.9230769230769231,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,16.86377675725207,4.656796681516158,262.90051179894766
그리스,공용,2022,1,1,겨울,1,205,2,0.0,2.0,0.0,1.6666666666666667,0.9166666666666666,inf,0,0,1,2022-01-01,72,3.0,1.0,1.0,2.0,2.3333333333333335,1.6666666666666667,2.25,0.49999999999999994,0.8660254037844387,0.6666666666666666,0.6153846153846154,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.531568994533972,259.4740967206929
그리스,공용,2022,2,1,겨울,1,206,1,2.0,3.0,1.0,1.0,0.9166666666666666,0.0,0,0,1,2022-02-01,73,2.0,2.0,1.0,3.0,2.0,1.6666666666666667,2.0833333333333335,0.8660254037844386,0.5000000000000001,0.25,0.3243243243243243,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.2648542709420942,259.3847759640258
그리스,공용,2022,3,1,봄,1,207,1,1.0,0.0,0.0,1.3333333333333333,1.0,inf,0,0,2,2022-03-01,74,1.0,3.0,1.0,8.0,1.3333333333333333,1.6666666666666667,1.5,1.0,6.123233995736766e-17,0.1111111111111111,0.4,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.91234182638675,3.357788687923673,259.4164778774414
그리스,공용,2022,4,2,봄,1,208,1,1.0,2.0,0.0,1.0,1.0833333333333333,inf,0,0,2,2022-04-01,75,1.0,2.0,1.0,2.0,1.0,1.6666666666666667,1.4166666666666667,0.8660254037844387,-0.4999999999999998,0.3333333333333333,0.4137931034482758,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.2192619911625022,259.36950745213693
