국적,목적,연도,월,분기,계절,입국자수
중국,관광,2005,1,1,봄,4775
중국,상용,2005,1,1,봄,3642
중국,공용,2005,1,1,봄,2344
중국,기타,2005,1,1,봄,2414
일본,관광,2005,1,1,봄,3262
일본,상용,2005,1,1,봄,2350
일본,공용,2005,1,1,봄,1577
일본,기타,2005,1,1,봄,1592
미국,관광,2005,1,1,봄,2416
미국,상용,2005,1,1,봄,1774
미국,공용,2005,1,1,봄,1196
미국,기타,2005,1,1,봄,1167
베트남,관광,2005,1,1,봄,1610
베트남,상용,2005,1,1,봄,1211
베트남,공용,2005,1,1,봄,784
베트남,기타,2005,1,1,봄,815
태국,관광,2005,1,1,봄,1546
태국,상용,2005,1,1,봄,1175
태국,공용,2005,1,1,봄,784
태국,기타,2005,1,1,봄,804
중국,관광,2005,2,1,봄,5244
중국,상용,2005,2,1,봄,3842
중국,공용,2005,2,1,봄,2468
중국,기타,2005,2,1,봄,2428
일본,관광,2005,2,1,봄,3381
일본,상용,2005,2,1,봄,2604
일본,공용,2005,2,1,봄,1673
일본,기타,2005,2,1,봄,1649
미국,관광,2005,2,1,봄,2592
미국,상용,2005,2,1,봄,1939
미국,공용,2005,2,1,봄,1305
미국,기타,2005,2,1,봄,1260
베트남,관광,2005,2,1,봄,1752
베트남,상용,2005,2,1,봄,1257
베트남,공용,2005,2,1,봄,834
베트남,기타,2005,2,1,봄,870
태국,관광,2005,2,1,봄,1758
태국,상용,2005,2,1,봄,1226
태국,공용,2005,2,1,봄,873
태국,기타,2005,2,1,봄,874
중국,관광,2005,3,1,봄,6305
중국,상용,2005,3,1,봄,4687
중국,공용,2005,3,1,봄,3239
중국,기타,2005,3,1,봄,3136
일본,관광,2005,3,1,봄,4146
일본,상용,2005,3,1,봄,3115
일본,공용,2005,3,1,봄,2185
일본,기타,2005,3,1,봄,2118
미국,관광,2005,3,1,봄,3204
미국,상용,2005,3,1,봄,2433
미국,공용,2005,3,1,봄,1614
미국,기타,2005,3,1,봄,1554
베트남,관광,2005,3,1,봄,2061
베트남,상용,2005,3,1,봄,1616
베트남,공용,2005,3,1,봄,1042
베트남,기타,2005,3,1,봄,1006
태국,관광,2005,3,1,봄,2196
태국,상용,2005,3,1,봄,1577
태국,공용,2005,3,1,봄,1037
태국,기타,2005,3,1,봄,1138
중국,관광,2005,4,2,여름,6599
중국,상용,2005,4,2,여름,4905
중국,공용,2005,4,2,여름,3318
중국,기타,2005,4,2,여름,3172
일본,관광,2005,4,2,여름,4506
일본,상용,2005,4,2,여름,3230
일본,공용,2005,4,2,여름,2224
일본,기타,2005,4,2,여름,2162
미국,관광,2005,4,2,여름,3278
미국,상용,2005,4,2,여름,2494
미국,공용,2005,4,2,여름,1585
미국,기타,2005,4,2,여름,1629
베트남,관광,2005,4,2,여름,2224
