국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_Ensemble
그리스,공용,2020,1,1,겨울,0,181,8,0.0,2.0,4.0,3.6666666666666665,2.6666666666666665,100.0,0,0,1,2.9424284486998986,2.9925923944800994,4.75996097309272,3.564993938757573
그리스,공용,2020,3,1,봄,1,183,2,0.0,0.0,10.0,3.333333333333333,2.0,-80.0,0,0,2,2.767364740671301,3.8523377262522605,6.190183866528725,4.269962111150762
그리스,공용,2020,7,3,여름,1,187,1,0.0,0.0,5.0,0.3333333333333333,1.4166666666666667,-80.0,0,0,3,2.9276455692580923,3.8462802383641135,3.4726915032464403,3.415539103622882
그리스,공용,2020,9,3,가을,1,189,2,0.0,0.0,1.0,1.0,1.5,100.0,0,0,0,2.8830025827248855,4.651006458372663,1.5035548752454337,3.012521305447661
그리스,공용,2021,2,1,겨울,1,194,1,0.0,0.0,0.0,0.3333333333333333,0.5,inf,0,0,1,2.7505996783244506,3.053993270022363,4.74951470946726,3.5180358859380245
그리스,공용,2021,5,2,봄,1,197,1,0.0,1.0,0.0,0.3333333333333333,0.4166666666666667,inf,0,0,2,2.8365585627505325,3.829470865462004,2.3063142608329725,2.9907812296818364
그리스,공용,2021,8,3,여름,1,200,1,0.0,1.0,0.0,0.3333333333333333,0.4166666666666667,inf,0,0,3,3.2007692697812793,5.186277688506509,3.787146033858332,4.058064330715374
그리스,공용,2021,9,3,가을,1,201,1,1.0,0.0,2.0,0.6666666666666666,0.3333333333333333,-50.0,0,0,0,2.8830025827248855,4.651006458372663,1.5035548752454337,3.012521305447661
그리스,공용,2021,10,4,가을,1,202,2,1.0,0.0,0.0,1.3333333333333333,0.5,inf,0,0,0,2.8635336397239497,4.700047456553196,1.763241352568842,3.108940816281996
그리스,공용,2021,11,4,가을,1,203,3,2.0,1.0,0.0,2.0,0.75,inf,0,0,0,2.6184638720895332,4.614009369648326,2.758175818932728,3.3302163535568625
그리스,공용,2022,1,1,겨울,1,205,2,0.0,2.0,0.0,1.6666666666666667,0.9166666666666666,inf,0,0,1,2.9424284486998986,2.9925923944800994,4.75996097309272,3.564993938757573
그리스,공용,2022,2,1,겨울,1,206,1,2.0,3.0,1.0,1.0,0.9166666666666666,0.0,0,0,1,2.7505996783244506,3.053993270022363,4.74951470946726,3.5180358859380245
그리스,공용,2022,3,1,봄,1,207,1,1.0,0.0,0.0,1.3333333333333333,1.0,inf,0,0,2,2.767364740671301,3.8523377262522605,6.190183866528725,4.269962111150762
그리스,공용,2022,4,2,봄,1,208,1,1.0,2.0,0.0,1.0,1.0833333333333333,inf,0,0,2,2.8713413228406,3.829470865462004,4.80194129273659,3.834251160346398
그리스,공용,2022,5,2,봄,1,209,2,1.0,1.0,1.0,1.3333333333333333,1.1666666666666667,100.0,0,0,2,2.8365585627505325,3.829470865462004,2.3063142608329725,2.9907812296818364
그리스,공용,2022,7,3,여름,0,211,1,0.0,1.0,0.0,1.0,1.25,inf,0,0,3,2.9276455692580923,3.8462802383641135,3.4726915032464403,3.415539103622882
그리스,공용,2022,8,3,여름,0,212,1,1.0,2.0,1.0,0.6666666666666666,1.25,0.0,0,0,3,3.2007692697812793,5.186277688506509,3.787146033858332,4.058064330715374
