국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,연월,계절_코드,월_sin,월_cos,분기_sin,분기_cos,연도_정규화,선형트렌드,제곱트렌드,입국자수_6개월전,입국자수_24개월전,증감률_1개월,증감률_3개월,증감률_12개월,국적_빈도,국적_로그빈도,목적_빈도,국적_평균입국자수,목적_평균입국자수,국적_인코딩,목적_인코딩,계절_인코딩,국적목적_조합,국적목적_빈도,계절목적_조합,월국적_상호작용,연도국적_상호작용,국적_평균,국적_표준편차,국적_최소,국적_최대,국적_중앙값,목적_평균,목적_표준편차,목적_최소,목적_최대,계절_평균,계절_표준편차,앙상블예측,RandomForest_예측,XGBoost_예측,GradientBoosting_예측,Ridge_예측,Lasso_예측
중국,공용,2026,1,1,겨울,0,253,56.25,53.4375,50.625,37.25,124.49999999999999,150.95833333333331,0.1,202601,4,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,,253,64009,,,0.05166475315729047,0.1089588377723971,0.49673202614379086,48,3.8918202981106265,180,46212.04861111112,273.81898148148144,44,0,1,중국_공용,12,겨울_공용,48,97248,46212.04861111112,72909.78306073407,56.25,205420.25,3584.458333333333,273.81898148148144,671.2705769271112,1.25,3532.0,9669.583333333334,26784.037687371412,148,86,125,108,6222,3064
중국,관광,2026,1,1,겨울,0,253,139181.5,132222.425,125263.35,61872.75,121039.5,116173.97916666667,0.1,202601,4,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,,253,64009,,,0.05263118089703101,0.11111022409807733,1.249459585042122,48,3.8918202981106265,180,46212.04861111112,44945.81712962963,44,1,1,중국_관광,12,겨울_관광,48,97248,46212.04861111112,72909.78306073407,56.25,205420.25,3584.458333333333,44945.81712962963,54906.56830808382,3273.0,224785.0,9669.583333333334,26784.037687371412,133062,131438,144164,137773,108302,101841
중국,상용,2026,1,1,겨울,0,253,1511.5,1435.925,1360.3500000000001,957.75,1816.5,1779.6875,0.1,202601,4,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,,253,64009,,,0.05259495102388785,0.11102949278289921,0.5775749674054759,48,3.8918202981106265,180,46212.04861111112,373.4101851851852,44,2,1,중국_상용,12,겨울_상용,48,97248,46212.04861111112,72909.78306073407,56.25,205420.25,3584.458333333333,373.4101851851852,624.3789467077137,24.75,2828.6666666666665,9669.583333333334,26784.037687371412,1658,1567,1727,1691,7996,4830
중국,유학연수,2026,1,1,겨울,0,253,4340.25,4123.2375,3906.225,2597.5,5831.5,10137.437499999998,0.1,202601,4,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,,253,64009,,,0.05261881741776506,0.11108267376462838,0.6706753896478738,48,3.8918202981106265,180,46212.04861111112,1424.4648148148149,44,3,1,중국_유학연수,12,겨울_유학연수,48,97248,46212.04861111112,72909.78306073407,56.25,205420.25,3584.458333333333,1424.4648148148149,4236.256416933347,8.75,33336.0,9669.583333333334,26784.037687371412,5185,5121,4889,5259,11578,8367
일본,공용,2026,1,1,겨울,0,253,97.0,92.14999999999999,87.3,61.0,172.41666666666666,110.56249999999999,0.1,202601,4,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,,253,64009,,,0.052066559312936224,0.10985277463193661,0.5806451612903226,48,3.8918202981106265,180,43674.144097222226,273.81898148148144,43,0,1,일본_공용,12,겨울_공용,48,97248,43674.144097222226,77578.9924823001,82.75,224785.0,1031.25,273.81898148148144,671.2705769271112,1.25,3532.0,9669.583333333334,26784.037687371412,186,126,153,142,6346,3026
일본,관광,2026,1,1,겨울,0,253,91966.5,87368.175,82769.85,49899.5,129409.74999999999,121731.47916666666,0.1,202601,4,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,,253,64009,,,0.05263097654292829,0.11110976871688516,0.8430176050340177,48,3.8918202981106265,180,43674.144097222226,44945.81712962963,43,1,1,일본_관광,12,겨울_관광,48,97248,43674.144097222226,77578.9924823001,82.75,224785.0,1031.25,44945.81712962963,54906.56830808382,3273.0,224785.0,9669.583333333334,26784.037687371412,132006,130770,129975,137106,156548,152309
일본,상용,2026,1,1,겨울,0,253,1259.25,1196.2875,1133.325,968.75,1010.5833333333334,971.75,0.1,202601,4,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,,253,64009,,,0.05258761993255596,0.11101315760474287,0.29956174271719516,48,3.8918202981106265,180,43674.144097222226,373.4101851851852,43,2,1,일본_상용,12,겨울_상용,48,97248,43674.144097222226,77578.9924823001,82.75,224785.0,1031.25,373.4101851851852,624.3789467077137,24.75,2828.6666666666665,9669.583333333334,26784.037687371412,1223,1211,1017,1067,6919,3568
일본,유학연수,2026,1,1,겨울,0,253,889.5,845.025,800.5500000000001,612.75,704.9166666666667,909.6458333333333,0.1,202601,4,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,,253,64009,,,0.05256936851747883,0.1109724907990767,0.4509164969450102,48,3.8918202981106265,180,43674.144097222226,1424.4648148148149,43,3,1,일본_유학연수,12,겨울_유학연수,48,97248,43674.144097222226,77578.9924823001,82.75,224785.0,1031.25,1424.4648148148149,4236.256416933347,8.75,33336.0,9669.583333333334,26784.037687371412,863,839,737,720,6658,3273
대만,공용,2026,1,1,겨울,0,253,14.25,13.5375,12.825000000000001,9.25,9.666666666666668,7.520833333333334,0.1,202601,4,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,,253,64009,,,0.049011177987962194,0.10307414104882451,0.4878048780487805,48,3.8918202981106265,180,19442.779513888887,273.81898148148144,5,0,1,대만_공용,12,겨울_공용,48,97248,19442.779513888887,33871.209868563164,5.0,85999.0,171.83333333333331,273.81898148148144,671.2705769271112,1.25,3532.0,9669.583333333334,26784.037687371412,64,14,10,10,5728,2707
대만,관광,2026,1,1,겨울,0,253,68918.0,65472.1,62026.200000000004,35317.0,60169.75,54321.20833333333,0.1,202601,4,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,,253,64009,,,0.05263077508167479,0.11110931978228898,0.951384563112294,48,3.8918202981106265,180,19442.779513888887,44945.81712962963,5,1,1,대만_관광,12,겨울_관광,48,97248,19442.779513888887,33871.209868563164,5.0,85999.0,171.83333333333331,44945.81712962963,54906.56830808382,3273.0,224785.0,9669.583333333334,26784.037687371412,70587,69516,89310,68097,59183,53410
