분류,구분,예측값,데이터타입,세부구분,비율,전년대비,신뢰도,특이사항
연도별_전체,2005년,"1,282,370명",실제,전체,100.0%,-,-,정상운영
연도별_전체,2006년,"1,738,500명",실제,전체,100.0%,+35.6%,-,정상운영
연도별_전체,2007년,"1,719,989명",실제,전체,100.0%,-1.1%,-,정상운영
연도별_전체,2008년,"1,757,034명",실제,전체,100.0%,+2.2%,-,정상운영
연도별_전체,2009년,"1,729,005명",실제,전체,100.0%,-1.6%,-,정상운영
연도별_전체,2010년,"1,744,179명",실제,전체,100.0%,+0.9%,-,정상운영
연도별_전체,2011년,"2,385,182명",실제,전체,100.0%,+36.8%,-,정상운영
연도별_전체,2012년,"2,383,576명",실제,전체,100.0%,-0.1%,-,정상운영
연도별_전체,2013년,"2,412,782명",실제,전체,100.0%,+1.2%,-,정상운영
연도별_전체,2014년,"2,423,636명",실제,전체,100.0%,+0.4%,-,정상운영
연도별_전체,2015년,"2,422,471명",실제,전체,100.0%,-0.0%,-,정상운영
연도별_전체,2016년,"3,563,400명",실제,전체,100.0%,+47.1%,-,정상운영
연도별_전체,2017년,"3,464,823명",실제,전체,100.0%,-2.8%,-,정상운영
연도별_전체,2018년,"4,030,616명",실제,전체,100.0%,+16.3%,-,정상운영
연도별_전체,2019년,"3,494,353명",실제,전체,100.0%,-13.3%,-,정상운영
연도별_전체,2020년,"338,484명",실제,전체,100.0%,-90.3%,-,코로나19 영향
연도별_전체,2021년,"1,045,623명",실제,전체,100.0%,+208.9%,-,코로나19 영향
연도별_전체,2022년,"2,119,499명",실제,전체,100.0%,+102.7%,-,코로나19 영향
연도별_전체,2023년,"3,896,036명",실제,전체,100.0%,+83.8%,-,회복기
연도별_전체,2024년,"3,920,478명",실제,전체,100.0%,+0.6%,-,회복기
연도별_전체,2025년,"3,962,784명",실제,전체,100.0%,+1.1%,-,회복기
연도별_전체,2026년,"5,187,689명",예측,전체,100.0%,+30.9%,80.7%,성장기 예측
2026년_분기별,1분기,"927,208명",예측,1-3월,17.9%,-,80.7%,일반
2026년_분기별,2분기,"1,265,199명",예측,4-6월,24.4%,-,80.7%,일반
2026년_분기별,3분기,"1,581,517명",예측,7-9월,30.5%,-,80.7%,여름성수기
2026년_분기별,4분기,"1,413,765명",예측,10-12월,27.3%,-,80.7%,겨울성수기
